"destacado_fmd_si_no","categoria_curada","design_id","slug","nombre_visible","ids_origen","categoria_album_actual","tags_actuales","imagen_principal","destacado_actual","visibility_tier_actual","commercial_priority_actual"
"","","cd-megadeth-endgame--p13","cd-megadeth-endgame-p13","Endgame","13","Album | Endgame","Megadeth | Megadeth Vault | Thrash Metal | Endgame | remera | Megadeth Archive | Megadeth Albums","images/albums/Endgame/endgame.jpg","NO","catalog","66"
"","","cd-megadeth-final--p5059","cd-megadeth-final-p5059","Final","5059","Hoodies FMD","Megadeth | Megadeth Vault | Thrash Metal | hoodie | Megadeth Archive","images/hoddies_fmd/megadeth_final_black.jpg","SI","featured","78"
"","","cd-megadeth-formaciones-2026--p40","cd-megadeth-formaciones-2026-p40","Formaciones 2026","40","Tour","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Tour Archive | Argentina 2026","images/musicians/formaciones/megadeth_2026_frente.jpg","NO","catalog","62"
"","","cd-megadeth-killing-is-my-bussines--gris-rojo","cd-megadeth-killing-is-my-bussines-gris-rojo","Gris Rojo","1","Album | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Killing Is My Business... and Business Is Good! | remera | buzo_cuello_redondo | Megadeth Albums","images/albums/Killing_Is_my_bussines/kimb_gris_rojo.jpg","SI","featured","88"
"","","cd-megadeth-guitarra-argentina--guitarra-argentina","cd-megadeth-guitarra-argentina-guitarra-argentina","Guitarra Argentina","5076","Hoodies FMD","Megadeth | Megadeth Vault | Thrash Metal | hoodie | Megadeth Archive | Tour Archive | Argentina 2026","images/hoddies_fmd/guitarra_argentina.png","NO","catalog","64"
"","","cd-megadeth-guitarra-argentina--guitarra-argentina-fmd","cd-megadeth-guitarra-argentina-guitarra-argentina-fmd","Guitarra Argentina FMD","7009","Buzo Cuello Redondo","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | buzo_cuello_redondo | Megadeth Archive | Tour Archive | Argentina 2026","images/buzos cuello redondo/megadeth_guitar_arg_fmd.jpg","NO","catalog","64"
"","","cd-megadeth-hangar-18--p5053","cd-megadeth-hangar-18-p5053","Hangar 18","5053","Singles | Rust in Peace","Megadeth | Megadeth Vault | Thrash Metal | Rust in Peace | remera | Megadeth Archive | Megadeth Singles","images/singles/hangar_18_single_frente.jpg","NO","catalog","58"
"","","cd-megadeth-hangar-18-fmd--p5053","cd-megadeth-hangar-18-fmd-p5053","Hangar 18 FMD","5053","Singles | Rust in Peace","Megadeth | Megadeth Vault | Thrash Metal | Rust in Peace | remera | Megadeth Archive | Megadeth Singles","images/singles/hangar_18.png","NO","catalog","58"
"","","cd-megadeth-i-am-war--p246","cd-megadeth-i-am-war-p246","I Am War","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/i_am_war.jpg","NO","catalog","58"
"","","cd-megadeth-i-don-t-care--p5068","cd-megadeth-i-don-t-care-p5068","I Don't Care","5068","Hoodies FMD","Megadeth | Megadeth Vault | Thrash Metal | hoodie | Megadeth Archive","images/hoddies_fmd/i_dont_care.jpg","NO","catalog","64"
